plot_id,triplet,quad,fucus_percent_total,fucus_number_adults,fucus_sporelings_percent,fucus_sporelings_number,acrosiphonia,chaetomorpha,cryptosiphonia,endocladia,gloiopeltis,halosaccion,hildenbrandia,masto_pap,melanosiphon,odonthalia,palmaria,petrocelis,pilayella,porphyra,pterosiphonia,ralfsia_hild,l_sitkana,l_scutulata,barnacles,barnacle_spat,mytilus,nucella,pagurus,siphonaria,onchidella,lottids,lottidae,l_digit_strig,nereidae,emplectonema,paranemertes,amphiporus,margarites,cucumaria,leptasterias,year,ulva,enteromorpha,clad_sericea,soranthera,polysiphonia,myelophycus,lottiidae,buccinum,spirorbidae,katharina,margarits_juv,elachista,neorhodomela,colpomenia,erect_coralline,antho_artemesia,crustose_coralline,a_arcta,petrocelia,callithamnion,hiatella_arctica,epiactis,irridescent_snail_homalopoma,cryptonatica_acrosiphonia,lepidochiton,flatworm,unident_polychaete,idotea
532_7,7,532,75,34,0.5,<10^1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,347,10,20,0,5,0,0,0,1,92,2,0,0,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533_7,7,533,45,15,0,<10^0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,318,12,20,0,4,0,0,1,0,61,3,0,0,2,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_8,8,536,70,26,4,<10^2,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,6,0,409,27,12,0,6,0,0,0,0,97,7,0,0,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537_8,8,537,80,29,2,<10^2,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,188,12,40,0,30,0,0,0,0,132,7,0,0,2,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538_8,8,538,75,3,27,<10^1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,4,0,228,20,18,0,14,0,0,0,0,45,11,0,0,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106_9,9,106,60,40,1,<10^2,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,1,0,211,5,20,0,0,0,0,1,0,77,1,2,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107_9,9,107,94,39,2,<10^2,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,127,20,25,0,7,0,0,1,0,54,9,0,0,2,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108_9,9,108,55,18,0,<10^0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,110,3,15,0,5,0,0,2,0,80,3,10,0,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503_10,10,503,85,70,1,<10^2,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,2,0,131,5,30,0,1,0,1,2,0,15,3,5,1,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504_10,10,504,85,45,1,<10^2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,134,10,35,0,4,0,1,1,0,9,5,3,0,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505_10,10,505,85,45,0,<10^0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,25,0,4,0,0,5,0,9,5,2,0,3,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540_11,11,540,50,18,6,<10^3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,5,40,0,7,0,0,0,0,30,1,9,0,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541_11,11,541,45,34,1,<10^2,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,137,2,40,0,4,0,0,0,0,20,2,5,0,2,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542_11,11,542,45,24,3,<10^3,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,145,2,40,0,2,0,0,0,0,14,1,12,0,2,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545_12,12,545,75,36,1,<10^2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,87,1,25,0,40,0,1,1,0,28,3,8,0,1,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546_12,12,546,55,52,1,<10^2,0,0,0,1,0,0,0,0,0,4,0,0.5,0,0,5,0,196,3,15,0,6,0,0,0,0,40,0,6,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547_12,12,547,50,33,2,<10^2,0,0.5,0,0.5,0,0,0,0,0,1,0,0.5,0,0,2,0,155,10,25,0,15,0,0,0,0,61,2,0,0,0,0,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170_1,1,170,90,54,3,10-100,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,116,3,10,1,1,0,15,0,4,0,0,0,0,0,0,0,0,0,10,2000,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116_2,2,116,30,12,5,10-100,0,0,0,1,0,0,0,0,0,10,0,0,0,0,5,0.5,215,15,15,0.5,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2000,0,0,0.5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120_3,3,120,30,21,1,10-100,0,0,0,15,0.5,0,0,0,0,15,0,0,0,0,8,0,119,3,35,0.5,20,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122_4,4,122,80,120,2,10-100,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,11,0,25,0.5,2,0,2,10,5,0,0,0,0,0,0,1,0,0,2,2000,0,0,0,0,0,0,33,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102_5,5,102,40,15,0.5,.1-10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,450,10,20,0.5,6,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0.5,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105_6,6,105,30,22,3,10-100,0,0,0,2,0,0,0,0,0,15,0,0,0,0,5,0,425,2,20,0.5,15,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532_7,7,532,33,24,3,10-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,125,12,25,0.5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0.5,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537_8,8,537,65,44,5,100-1000,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,1,112,0,40,0.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108_9,9,108,25,7,8,100-1000,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.05,205,5,25,0.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505_10,10,505,40,80,3,100-1000,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,360,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542_11,11,542,98,200,10,100-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,10,65,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546_12,12,546,96,60,0.5,10-100,0,0,0,0.5,0,0,0,0,0,4,0,0,0,0,2,0.5,500,75,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_1,1,113,80,38,15,100-1000,0,0,0,5,0,0,0,0,0,3,0,0,0,0,3,2,337,5,40,0.5,2,0,4,4,0,0,0,0,0,1,0,0,0,0,5,2000,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117_2,2,117,40,17,1,0-10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.5,0.5,174,3,60,1,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118_3,3,118,75,37,1,10-100,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0.5,38,5,50,0.5,5,0,2,3,0,0,0,0,0,0,0,0,0,0,3,2000,0,0,0.5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123_4,4,123,50,39,1,.1-10,0,0,0,1,0,0,0,0,0,20,0,0.5,0,0,2,0.5,15,3,35,0.5,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,12,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_5,5,101,50,34,3,10-100,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,32,0,33,0.5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523_6,6,523,60,30,0.5,.1-10,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,375,5,12,0.5,10,0,10,6,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_7,7,531,10,8,3,10-100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,100,2,40,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538_8,8,538,90,20,10,100-1000,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,1,112,0,15,0.5,10,0,3,2,2,0,0,0,0,0,0,0,0,0,0,2000,0,0,0.5,1,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107_9,9,107,15,7,5,100-1000,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.5,0.5,253,15,40,0.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504_10,10,504,28,32,4,100-1000,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,520,5,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541_11,11,541,55,50,4,100-1000,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,100,10,20,0.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545_12,12,545,60,32,0.5,10-100,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0,0,0.5,0,160,40,35,0,5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114_1,1,114,0.5,3,3,10-100,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,3,15,0,15,70,0,0,0,2,8,0,0,0,0,0,0,1,0,0,0,2000,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115_2,2,115,2,0,2,10-100,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,0,0,37,18,15,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119_3,3,119,1,0,1,10-100,0,0,0,1,0.5,0,0,0,0,8,0,0,0,0,5,0,82,0,10,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0.5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121_4,4,121,3,0,3,10-100,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,5,25,20,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103_5,5,103,0.5,0,0.5,10-100,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,15,2,40,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522_6,6,522,1,0,1,10-100,0,0,0,1,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,40,9,25,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0.5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533_7,7,533,0.5,0,0.5,.1-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,11,60,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_8,8,536,10,0,10,100-1000,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,119,93,70,0.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0.5,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106_9,9,106,2,0,2,100-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,173,79,5,0.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503_10,10,503,0.5,0,0.5,10-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540_11,11,540,1,3,0.5,10-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,15,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547_12,12,547,1,0.5,0.5,100-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,75,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113_1,1,113,20,4,15,10-100,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,312,30,66,2,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2001,0,0,0.5,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114_1,1,114,96,100-1000,4,100-1000,0,0,0,0,2,0.5,0,2,0,0,0,0,0,0,0.5,0.5,75,5,30.5,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,2,2001,0,0,0.5,0,0,20,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170_1,1,170,40,24,0.5,10-100,0,0,0,10,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,133,5,8.5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2001,0,0,0.5,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115_2,2,115,75,36,0.5,.1-10,0,0,0,2,2,0,0,0.5,0,0.5,0,0,0,0,0,0.5,88,26,15.5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,2001,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116_2,2,116,96,100-1000,5,10-100,0,0,0,0,0,0,0,0.5,0,7,0,0,0,0,4,0.5,176,21,25.5,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2001,0,0,0.5,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117_2,2,117,2,0,2,10-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,33,7.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118_3,3,118,0,0,0.5,.1-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,19,8,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119_3,3,119,40,24,0.5,10-100,0,0,3,10,1,0,0,0,0,15,0,0,0,0,3,0,85,3,10,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2001,0,0,0,0.5,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120_3,3,120,90,100-1000,0.5,.1-10,0,0,0,10,0,0,0,0,0,12,0,0,0,0,3,0,60,5,40,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,0.5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121_4,4,121,50,44,0.5,.1-10,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0.5,0,60,3,45,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122_4,4,122,10,8,0.5,.1-10,0,0,0,2,0.5,0,0,0.5,0,1,0,0,0,0,1,1,17,2,30,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123_4,4,123,0,0,1,10-100,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,150,70,60,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0
101_5,5,101,0,0,0.5,10-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,48,15,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
