MYELOPHYCUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
L SITKANA,116,215,119,11,450,425,125,112,205,360,500,500,,337,174,38,15,32,375,100,112,253,520,100,160,,15,37,82,5,15,40,55,119,173,63,75,45,
L SCUTULATA,3,15,3,0,10,2,12,,5,5,10,75,,5,3,5,3,,5,2,,15,5,10,40,,0,18,0,25,2,9,11,93,79,5,15,75,
LOTTIIDAE,3,17,11,33,50,4,41,44,87,55,7,130,,20,18,25,12,150,5,43,57,95,95,10,90,,7,48,28,110,15,20,43,22,17,2,10,30,
BARNACLES,10,15,35,25,20,20,25,40,25,,65,35,,40,60,50,35,33,12,40,15,40,30,20,35,,15,15,10,20,40,25,60,70,5,0.5,3,3,
MYTILUS,1,15,20,2,6,15,5,20,5,2,0.5,2,,2,15,5,1,6,10,3,10,10,1,2,5,,0,0.5,0.5,0.5,0.5,0.5,1,5,5,0.5,0.5,0.5,
NUCELLA,0,0,0,0,,1,,,,,,,,0,0,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,
BUCCINUM,0,,,,,,,,,,,,,1,,,,,,,1,,,,,,0,,,,,,,,,,,,
BARNACLE SPAT,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,,70,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,
PAGURUS,15,1,2,2,4,2,2,,,,,,,4,0,2,,,10,,3,,,,0.5,,0,0,,,,,,,,,,,
LEPTASTERIAS,10,0,,2,,,,,,,,,,5,0,3,,,,,,,,,,,0,0,,,,,,,,,,,
SIPHONARIA,0,0,3,10,3,2,,,,,,,,4,2,3,4,1,6,,2,,1,1,,,2,0,,,,,,,,,,,
EMPLECTONEMA,0,0,,,,,,,,,,,,1,0,,,,,,,,,,,,0,0,,,,,,,,,,,
AMPHIPORUS,0,0,,1,,,,,,,,,,0,0,,,,,,,,,,,,1,0,,,,,,,,,,,
ONCHIDELLA,4,0,,5,,,,,,,,,,0,0,,3,,,,2,,,,,,8,0,,,,,,,,,,,
PARANEMERTES,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,1,,,,,,,,,
SPIRORBIDAE,,,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
KATHARINA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARGARITS JUV,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
