L scutulata,2,0,5,5,0,0,0,0,1,0,3,0,2,2,2,0,7,1,0,1,3,0,0,0,1,5,2,3,4,10,2,8,2,0,5,0,
Lottids,109,0,63,81,92,95,117,31,96,36,55,44,138,49,178,43,71,77,72,87,45,49,36,11,57,54,24,17,28,21,74,22,7,60,68,92,
Barnacles,12,10,10,3,5,20,8,5,25,5,25,8,10,6,8,6,8,12,4,6,10,15,18,10,10,12,12,8,25,40,40,35,50,20,8,15,
Mytilus,10,0.5,8,2,3,6,4,0.5,6,3,3,3,6,3,3,0.5,0.5,3,0.5,1,3,1,4,0.5,4,10,3,0.5,6,6,2,4,2,5,4,3,
Nucella,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,
Buccinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barnacle spat,0,0,0.5,0.5,1,0.5,0.5,0.5,1,25,6,0.5,2,5,1,0.5,0.5,0.5,0.5,1,0.5,8,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10,0.5,most barn spat this year is cariosus; mostly lower than plots
Pagurus,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,
Leptasterias,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Siphonaria,0,0,0,0,0,0,2,6,5,2,0,4,0,1,0,7,1,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
Emplectonema,0,0,0,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Amphiporus,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Onchidella,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paranemertes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spirorbidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Katharina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antho artemesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Callithamnion,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
