Lottids,2,167,77,42,42,32,152,91,39,74,92,63,96,47,45,84,71,37,28,42,64,41,94,39,49,55,53,6,31,48,77,38,28,69,31,71,,,,,,,,,,,,,,,,,,,,
Barnacles,50,20,35,20,10,15,55,20,20,25,50,35,30,20,20,40,50,15,50,10,40,15,25,30,30,30,25,10,35,50,70,35,95,50,15,60,,,,,,,,,,,,,,,,,,,,
Mytilus,15,0.5,30,10,8,15,30,8,15,18,20,15,20,20,15,10,20,40,25,15,20,20,25,20,8,6,5,2,6,10,16,12,1,12,12,20,,,,,,,,,,,,,,,,,,,,
Nucella,2,,,6,3,,,2,,6,8,13,2,4,,1,,2,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccinum,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle spat,25,10,0.5,0.5,65,20,1,5,25,,1,0.5,1,25,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.5,,,,,,0.5,25,0.5,,,,,,,,,,,,,,,,,,,,
Pagurus,,2,,15,3,,,2,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,23,,,,,,,,,,,,,,,,,,,,
Leptasterias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphonaria,5,12,,,,,,,1,,,,,2,,,,,,,,,,,,,1,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
Emplectonema,2,,6,3,,,2,2,1,,,,,,,,,,3,2,2,1,5,10,1,,,,,2,8,1,4,3,1,2,,,,,,,,,,,,,,,,,,,,
Amphiporous,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Onchidella,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Paranemertes,,,,,,,,,,,,,,,,,2,,,,2,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirorbidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katharina,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antho artemesia,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callitham pikeanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrosiphonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiatella arctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrosiphonia,,,,,0.5,,,,,0.5,,0.5,,,,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porphyra,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erect coralline,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithamnion pikeanum,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
