Barnacles,4,0.5,35,1,6,25,15,10,18,40,40,20,45,20,35,4,60,18,50,20,30,24,35,12,8,8,10,10,32,,65,25,60,25,18,30,,290,24.17,,,,,,,,,,,,,,,,,,,,
Mytilus,0,0,0.5,,0.5,12,0.5,0.5,3,0.5,3,0.5,15,8,20,0.5,3,4,1,4,12,5,3,10,1,7,3,1,4,45,6,1,0.5,0.5,3,3,,33.5,2.79,,,,,,,,,,,,,,,,,,,,
Nucella,,,,,,,,,,,,1,3,3,1,,,4,,,2,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle spat,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,1,0.5,0,0.5,0.5,,0,0,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus,12,5,15,21,10,19,35,7,2,4,,3,2,30,10,,,2,,,5,,1,1,1,0,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Leptasterias,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphonaria,7,8,6,17,4,5,7,2,1,2,7,,,,,,1,,,5,5,5,10,5,3,3,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
Emplectonema,2,,,,1,1,,,1,1,,1,1,1,2,,,1,,1,4,1,4,3,0,0,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Amphiporous,,,,1,,1,2,,,,,,,1,,,2,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onchidella,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paranemertes,,,1,,1,,,,,1,,,1,,1,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Spirorbidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katharina,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antho artemesia,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
